WT	WT	KO	KO
-2.03209E-07	0.015850572	-4.11765E-07	0.010973524
-0.001219455	0.018289075	0.00121884	0.015850529
-0.001219455	0.020727578	0.00121884	0.020727535
0.001219048	0.024385332	0.002438091	0.020727535
0.004876802	0.029262337	0.003657342	0.020727535
0.007315305	0.032920091	0.006095845	0.02560454
0.009753807	0.036577845	0.004876594	0.028043043
0.01219231	0.04145485	0.009753599	0.030481545
0.015850064	0.047551107	0.014630604	0.034139299
0.021946321	0.052428112	0.01950761	0.036577802
0.026823326	0.056085866	0.021946112	0.041454807
0.031700332	0.058524369	0.024384615	0.048770316
0.036577337	0.067059128	0.030480872	0.053647321
0.03901584	0.092663406	0.035357877	0.06218208
0.041454342	0.138994957	0.03779638	0.090224861
0.046331348	0.134117952	0.042673385	0.132898658
0.049989102	0.060962872	0.046331139	0.156064433
0.052427604	0.019508326	0.051208144	0.093882615
0.065839369		0.054865898	0.053647321
0.09388215		0.067058412	0.037797053
0.137775198		0.102416701	
0.115828674		0.147529	
0.04876985		0.149967503	
0.014630813		0.058523652	
		-0.001219663	
		-0.021946936	
